Judge,URL,Slug,Born,Confirmed,Court,Died,Education,President,Service Terminated
"Suttle, Dorwin Wallace",https://www.fjc.gov/history/judges/suttle-dorwin-wallace,history/judges/suttle-dorwin-wallace,['1906'],"['June 30, 1964']",['U.S. District Court for the Western District of Texas'],['2001'],"['University of Texas School of Law, LL.B., 1928']",['Lyndon B. Johnson'],['death']
"Roberts, Jack",https://www.fjc.gov/history/judges/roberts-jack,history/judges/roberts-jack,['1910'],"['July 22, 1966']",['U.S. District Court for the Western District of Texas'],['1988'],"['University of Texas School of Law, LL.B., 1933']",['Lyndon B. Johnson'],['death']
"Singleton, John Virgil, Jr.",https://www.fjc.gov/history/judges/singleton-john-virgil-jr,history/judges/singleton-john-virgil-jr,['1918'],"['July 22, 1966']",['U.S. District Court for the Southern District of Texas'],['2015'],"['University of Texas, B.A., 1942Naval Justice School, 1948']",['Lyndon B. Johnson'],['retirement']
"Taylor, William McLaughlin, Jr.",https://www.fjc.gov/history/judges/taylor-william-mclaughlin-jr,history/judges/taylor-william-mclaughlin-jr,['1909'],"['July 22, 1966']",['U.S. District Court for the Northern District of Texas'],[],"['Southern Methodist University School of Law, LL.B., 1932']",['Lyndon B. Johnson'],['death']
"Seals, Woodrow Bradley",https://www.fjc.gov/history/judges/seals-woodrow-bradley,history/judges/seals-woodrow-bradley,['1917'],"['July 22, 1966']",['U.S. District Court for the Southern District of Texas'],['1990'],"['University of Texas School of Law, LL.B., 1949']",['Lyndon B. Johnson'],['death']
"Guinn, Ernest Allen",https://www.fjc.gov/history/judges/guinn-ernest-allen,history/judges/guinn-ernest-allen,['1905'],"['July 22, 1966']",['U.S. District Court for the Western District of Texas'],['1974'],"['University of Texas, B.A., 1925University of Texas School of Law, LL.B., 1927']",['Lyndon B. Johnson'],['death']
"Woodward, Halbert Owen",https://www.fjc.gov/history/judges/woodward-halbert-owen,history/judges/woodward-halbert-owen,['1918'],"['June 6, 1968']",['U.S. District Court for the Northern District of Texas'],['2000'],"['University of Texas, B.B.A., 1940University of Texas School of Law, LL.B., 1940']",['Lyndon B. Johnson'],['death']
"Justice, William Wayne",https://www.fjc.gov/history/judges/justice-william-wayne,history/judges/justice-william-wayne,['1920'],"['June 6, 1968']",['U.S. District Court for the Eastern District of Texas'],['2009'],"['University of Texas School of Law, LL.B., 1942']",['Lyndon B. Johnson'],['death']
"Bue, Carl Olaf, Jr.",https://www.fjc.gov/history/judges/bue-carl-olaf-jr,history/judges/bue-carl-olaf-jr,['1922'],"['October 13, 1970']",['U.S. District Court for the Southern District of Texas'],[],"['Northwestern University, Ph.B., 1951University of Texas School of Law, LL.B., 1954']",['Richard M. Nixon'],[]
"Wood, John Howland, Jr.",https://www.fjc.gov/history/judges/wood-john-howland-jr,history/judges/wood-john-howland-jr,['1916'],"['November 25, 1970']",['U.S. District Court for the Western District of Texas'],['1979'],"['St. Mary`s University, Texas, B.B.A., 1935University of Texas School of Law, LL.B., 1938']",['Richard M. Nixon'],['death']
"Cox, Owen DeVol",https://www.fjc.gov/history/judges/cox-owen-devol,history/judges/cox-owen-devol,['1910'],"['November 25, 1970']",['U.S. District Court for the Southern District of Texas'],['1990'],"['University of Kansas, B.A., 1931University of Kansas School of Law, LL.B., 1932']",['Richard M. Nixon'],['death']
"Hill, Robert Madden",https://www.fjc.gov/history/judges/hill-robert-madden,history/judges/hill-robert-madden,['1928'],"['November 25, 1970', 'June 15, 1984']",['U.S. District Court for the Northern District of Texas'],[],"['University of Texas, B.B.A., 1948University of Texas School of Law, LL.B., 1950']","['Richard M. Nixon', 'Ronald Reagan']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Fifth CircuitNominated by Ronald Reagan on June 4, 1984, to a seat vacated by John Robert Brown. Confirmed by the Senate on June 15, 1984, and received commission on June 15, 1984. Service terminated on October 19, 1987, due to death']"
"Steger, William Merritt",https://www.fjc.gov/history/judges/steger-william-merritt,history/judges/steger-william-merritt,['1920'],"['November 25, 1970']",['U.S. District Court for the Eastern District of Texas'],['2006'],"['Southern Methodist University School of Law, LL.B., 1950']",['Richard M. Nixon'],['death']
"Mahon, Eldon Brooks",https://www.fjc.gov/history/judges/mahon-eldon-brooks,history/judges/mahon-eldon-brooks,['1918'],"['June 28, 1972']",['U.S. District Court for the Northern District of Texas'],['2005'],"['McMurry College, B.A., 1939University of Texas School of Law, LL.B., 1942']",['Richard M. Nixon'],['death']
"Porter, Robert William",https://www.fjc.gov/history/judges/porter-robert-william,history/judges/porter-robert-william,['1926'],"['June 13, 1974']",['U.S. District Court for the Northern District of Texas'],['1991'],"['Monmouth College, A.B., 1949University of Michigan Law School, J.D., 1952']",['Richard M. Nixon'],"['certified disability on January 17, 1990. Service terminated on November 6, 1991, due to death']"
"Sessions, William Steele",https://www.fjc.gov/history/judges/sessions-william-steele,history/judges/sessions-william-steele,['1930'],"['December 19, 1974']",['U.S. District Court for the Western District of Texas'],[],"['Baylor University, B.A., 1956Baylor University School of Law, LL.B., 1958']",['Gerald Ford'],['resignation']
"O'Conor, Robert J., Jr.",https://www.fjc.gov/history/judges/oconor-robert-j-jr,history/judges/oconor-robert-j-jr,['1934'],"['April 24, 1975']",['U.S. District Court for the Southern District of Texas'],[],"['University of Texas, B.A., 1956University of Texas School of Law, LL.B., 1957']",['Gerald Ford'],['resignation']
"Higginbotham, Patrick Errol",https://www.fjc.gov/history/judges/higginbotham-patrick-errol,history/judges/higginbotham-patrick-errol,['1938'],"['December 12, 1975', 'July 27, 1982']",['U.S. District Court for the Northern District of Texas'],[],"['University of Alabama, B.A., 1960University of Alabama School of Law, LL.B., 1961']","['Gerald Ford', 'Ronald Reagan']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Fifth CircuitNominated by Ronald Reagan on July 1, 1982, to a seat vacated by Reynaldo Guerra Garza. Confirmed by the Senate on July 27, 1982, and received commission on July 30, 1982. Assumed senior status on August 28, 2006.']"
"Sterling, Ross N.",https://www.fjc.gov/history/judges/sterling-ross-n,history/judges/sterling-ross-n,['1931'],"['May 6, 1976']",['U.S. District Court for the Southern District of Texas'],['1988'],"['University of Texas, B.A., 1956University of Texas School of Law, LL.B., 1957']",['Gerald Ford'],['death']
"Cowan, Finis E.",https://www.fjc.gov/history/judges/cowan-finis-e,history/judges/cowan-finis-e,['1929'],"['June 13, 1977']",['U.S. District Court for the Southern District of Texas'],[],"['Rice Institute (now Rice University), B.A., 1951University of Texas School of Law, LL.B., 1956']",['Jimmy Carter'],['resignation']
"Sanders, Harold Barefoot, Jr.",https://www.fjc.gov/history/judges/sanders-harold-barefoot-jr,history/judges/sanders-harold-barefoot-jr,['1925'],"['April 24, 1979']",['U.S. District Court for the Northern District of Texas'],['2008'],"['University of Texas, B.A., 1949University of Texas School of Law, J.D., 1950']",['Jimmy Carter'],['death']
"Belew, David Owen, Jr.",https://www.fjc.gov/history/judges/belew-david-owen-jr,history/judges/belew-david-owen-jr,['1920'],"['April 24, 1979']",['U.S. District Court for the Northern District of Texas'],['2001'],"['University of Texas, B.A., 1946University of Texas School of Law, LL.B., 1948']",['Jimmy Carter'],['death']
"Robinson, Mary Lou",https://www.fjc.gov/history/judges/robinson-mary-lou,history/judges/robinson-mary-lou,['1926'],"['April 24, 1979']",['U.S. District Court for the Northern District of Texas'],[],"['University of Texas, B.A., 1948University of Texas School of Law, LL.B., 1950']",['Jimmy Carter'],['death']
"Parker, Robert Manley",https://www.fjc.gov/history/judges/parker-robert-manley,history/judges/parker-robert-manley,['1937'],"['April 24, 1979', 'June 15, 1994']",['U.S. District Court for the Eastern District of Texas'],[],"['University of Texas, B.B.A., 1961University of Texas School of Law, LL.B., 1964']","['Jimmy Carter', 'William J. Clinton']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Fifth CircuitNominated by William J. Clinton on January 27, 1994, to a seat vacated by Samuel D. Johnson, Jr. Confirmed by the Senate on June 15, 1994, and received commission on June 16, 1994. Service terminated on November 1, 2002, due to retirement']"
"Black, Norman William",https://www.fjc.gov/history/judges/black-norman-william,history/judges/black-norman-william,['1931'],"['May 10, 1979']",['U.S. District Court for the Southern District of Texas'],['1997'],"['University of Texas, B.B.A., 1953University of Texas School of Law, LL.B., 1955']",['Jimmy Carter'],"['death.Other Federal Judicial Service:U.S. Magistrate, U.S. District Court for the Southern District of Texas, 1976-197']"
"DeAnda, James",https://www.fjc.gov/history/judges/deanda-james,history/judges/deanda-james,['1925'],"['May 10, 1979']",['U.S. District Court for the Southern District of Texas'],['2006'],"['Agricultural and Mechanical College of Texas (now Texas A & M University), B.A.University of Texas School of Law, LL.B., 1950']",['Jimmy Carter'],['retirement']
"Kazen, George P.",https://www.fjc.gov/history/judges/kazen-george-p,history/judges/kazen-george-p,['1940'],"['May 10, 1979']",['U.S. District Court for the Southern District of Texas'],[],"['University of Texas, B.B.A., 1960University of Texas School of Law, J.D., 1961']",['Jimmy Carter'],"['retirement.Other Federal Judicial Service:Judge, Foreign Intelligence Surveillance Court, 2003-201']"
"Cire, George Edward",https://www.fjc.gov/history/judges/cire-george-edward,history/judges/cire-george-edward,['1922'],"['May 10, 1979']",['U.S. District Court for the Southern District of Texas'],['1985'],"['St. Edward`s University, B.S., 1943University of Texas School of Law, LL.B., 1948']",['Jimmy Carter'],['death']
"McDonald, Gabrielle Anne Kirk",https://www.fjc.gov/history/judges/mcdonald-gabrielle-anne-kirk,history/judges/mcdonald-gabrielle-anne-kirk,['1942'],"['May 10, 1979']",['U.S. District Court for the Southern District of Texas'],[],"['Howard University School of Law, LL.B., 1966']",['Jimmy Carter'],"['resignation.Education: Howard University School of Law, LL.B., 1966Professional Career:Staff attorney, NAACP Legal Defense and']"
"Buchmeyer, Jerry",https://www.fjc.gov/history/judges/buchmeyer-jerry,history/judges/buchmeyer-jerry,['1933'],"['October 4, 1979']",['U.S. District Court for the Northern District of Texas'],['2009'],"['Kilgore Junior College, B.S., 1953University of Texas, B.A., 1955University of Texas School of Law, LL.B., 1957']",['Jimmy Carter'],['death']
"Gibson, Hugh",https://www.fjc.gov/history/judges/gibson-hugh,history/judges/gibson-hugh,['1918'],"['October 4, 1979']",['U.S. District Court for the Southern District of Texas'],['1998'],"['Rice Institute (now Rice University), B.A., 1940Baylor University School of Law, LL.B., 1948']",['Jimmy Carter'],['death']
"Bunton, Lucius Desha III",https://www.fjc.gov/history/judges/bunton-lucius-desha-iii,history/judges/bunton-lucius-desha-iii,['1924'],"['November 26, 1979']",['U.S. District Court for the Western District of Texas'],['2001'],"['University of Texas, B.A., 1947University of Texas School of Law, J.D., 1950']",['Jimmy Carter'],['death']
"Hudspeth, Harry Lee",https://www.fjc.gov/history/judges/hudspeth-harry-lee,history/judges/hudspeth-harry-lee,['1935'],"['November 26, 1979']",['U.S. District Court for the Western District of Texas'],[],"['University of Texas, A.B., 1955University of Texas School of Law, J.D., 1958']",['Jimmy Carter'],"['retirement.Other Federal Judicial Service:U.S. Magistrate, U.S. District Court for the Western District of Texas, 1977-197']"
"Shannon, Clyde Frederick, Jr.",https://www.fjc.gov/history/judges/shannon-clyde-frederick-jr,history/judges/shannon-clyde-frederick-jr,['1942'],"['June 18, 1980']",['U.S. District Court for the Western District of Texas'],[],"['Loyola University New Orleans, B.B.A., 1965University of Texas School of Law, LL.B., 1968']",['Jimmy Carter'],['resignation']
"Vela, Filemon Bartolome",https://www.fjc.gov/history/judges/vela-filemon-bartolome,history/judges/vela-filemon-bartolome,['1935'],"['June 18, 1980']",['U.S. District Court for the Southern District of Texas'],['2004'],"['St. Mary`s University School of Law, Texas, J.D., 1962']",['Jimmy Carter'],['death']
"Garcia, Hipolito Frank",https://www.fjc.gov/history/judges/garcia-hipolito-frank,history/judges/garcia-hipolito-frank,['1925'],"['September 29, 1980']",['U.S. District Court for the Western District of Texas'],['2002'],"['St. Mary`s University School of Law, Texas, LL.B., 1951']",['Jimmy Carter'],['death']
"Nowlin, James Robertson",https://www.fjc.gov/history/judges/nowlin-james-robertson,history/judges/nowlin-james-robertson,['1937'],"['October 21, 1981']",['U.S. District Court for the Western District of Texas'],[],"['Trinity University, San Antonio, Texas, B.A., 1959Trinity University, San Antonio, Texas, M.A., 1962University of Texas School of Law, J.D., 1963']",['Ronald Reagan'],[]
"Head, Hayden Wilson, Jr.",https://www.fjc.gov/history/judges/head-hayden-wilson-jr,history/judges/head-hayden-wilson-jr,['1944'],"['October 21, 1981']",['U.S. District Court for the Southern District of Texas'],[],"['University of Texas, B.A., 1966University of Texas School of Law, LL.B., 1968']",['Ronald Reagan'],[]
"Fish, A[llen] Joe",https://www.fjc.gov/history/judges/fish-allen-joe,history/judges/fish-allen-joe,['1942'],"['February 23, 1983']",['U.S. District Court for the Northern District of Texas'],[],"['Yale College, B.A., 1965Yale Law School, LL.B., 1968']",['Ronald Reagan'],[]
"Hinojosa, Ricardo H.",https://www.fjc.gov/history/judges/hinojosa-ricardo-h,history/judges/hinojosa-ricardo-h,['1950'],"['May 4, 1983']",['U.S. District Court for the Southern District of Texas'],[],"['University of Texas, B.A., 1972Harvard Law School, J.D., 1975']",['Ronald Reagan'],[]
