Judge,URL,Slug,Born,Confirmed,Court,Died,Education,President,Service Terminated
"Sheehy, Joseph Warren",https://www.fjc.gov/history/judges/sheehy-joseph-warren,history/judges/sheehy-joseph-warren,['1910'],"['June 7, 1951']",['U.S. District Court for the Eastern District of Texas'],[],"['Baylor University School of Law, LL.B., 1934']",['Harry S Truman'],['death']
"Ingraham, Joe McDonald",https://www.fjc.gov/history/judges/ingraham-joe-mcdonald,history/judges/ingraham-joe-mcdonald,['1903'],"['August 6, 1954', 'December 17, 1969']",['U.S. District Court for the Southern District of Texas'],['1990'],"['National University School of Law (now George Washington University Law School), LL.B., 1927']","['Dwight D. Eisenhower', 'Richard M. Nixon']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Fifth CircuitNominated by Richard M. Nixon on December 2, 1969, to a new seat authorized by 82 Stat. 184. Confirmed by the Senate on December 17, 1969, and received commission on December 18, 1969. Assumed senior status on July 31, 1973. Service terminated on May 27, 1990, due to death.Other Federal Judicial Service:Judge, Temporary Emergency Court of Appeals, 1976-198']"
"Cecil, Lamar John Ryan",https://www.fjc.gov/history/judges/cecil-lamar-john-ryan,history/judges/cecil-lamar-john-ryan,['1902'],"['December 2, 1954']",[],[],"['Rice Institute (now Rice University), B.A., 1923University of Texas School of Law, LL.B., 1927']",[],['death']
"Estes, Joe Ewing",https://www.fjc.gov/history/judges/estes-joe-ewing,history/judges/estes-joe-ewing,['1903'],"['July 28, 1955']",['U.S. District Court for the Northern District of Texas'],[],"['University of Texas School of Law, LL.B., 1927']",['Dwight D. Eisenhower'],"['death.Other Federal Judicial Service:Judge, Temporary Emergency Court of Appeals, 1972-198']"
"Fisher, Joseph Jefferson",https://www.fjc.gov/history/judges/fisher-joseph-jefferson,history/judges/fisher-joseph-jefferson,['1910'],"['September 9, 1959']",['U.S. District Court for the Eastern District of Texas'],['2000'],"['University of Texas School of Law, LL.B., 1936']",['Dwight D. Eisenhower'],['death']
"Garza, Reynaldo Guerra",https://www.fjc.gov/history/judges/garza-reynaldo-guerra,history/judges/garza-reynaldo-guerra,['1915'],"['April 13, 1961', 'July 12, 1979']",['U.S. District Court for the Southern District of Texas'],['2004'],"['Brownsville Junior College (now Texas Southmost College), A.A., 1935University of Texas, B.A., 1937University of Texas School of Law, LL.B., 1939']","['John F. Kennedy', 'Jimmy Carter']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Fifth CircuitNominated by Jimmy Carter on April 30, 1979, to a seat vacated by William Homer Thornberry. Confirmed by the Senate on July 12, 1979, and received commission on July 13, 1979. Assumed senior status on July 7, 1982. Service terminated on September 14, 2004, due to death.Other Federal Judicial Service:Judge, Temporary Emergency Court of Appeals, 1982-1993; chief judge, 1987-199']"
"Hughes, Sarah Tilghman",https://www.fjc.gov/history/judges/hughes-sarah-tilghman,history/judges/hughes-sarah-tilghman,['1896'],"['March 16, 1962']",[],[],"['Goucher College, A.B., 1917George Washington University Law School, LL.B., 1922']",[],['death']
"Noel, James Latane, Jr.",https://www.fjc.gov/history/judges/noel-james-latane-jr,history/judges/noel-james-latane-jr,['1909'],"['March 16, 1962']",[],['1997'],"['Southern Methodist University, B.S., civil engineering, 1931Southern Methodist University, B.S., commerce, 1932Southern Methodist University School of Law, LL.B., 1937']",[],['death']
"Brewster, Leo",https://www.fjc.gov/history/judges/brewster-leo,history/judges/brewster-leo,['1903'],"['March 16, 1962']",[],['1979'],"['University of Texas School of Law, LL.B., 1926']",[],['death']
"Spears, Adrian Anthony",https://www.fjc.gov/history/judges/spears-adrian-anthony,history/judges/spears-adrian-anthony,['1910'],"['March 16, 1962']",[],['1991'],"['University of South Carolina School of Law, LL.B., 1934']",[],"['retirement.Other Federal Judicial Service:Judge, Temporary Emergency Court of Appeals, 1981-198']"
"Thornberry, William Homer",https://www.fjc.gov/history/judges/thornberry-william-homer,history/judges/thornberry-william-homer,['1909'],"['July 15, 1963', 'July 1, 1965']",['U.S. District Court for the Western District of Texas'],['1995'],"['University of Texas, B.B.A., 1932University of Texas School of Law, LL.B., 1936']","['John F. Kennedy', 'Lyndon B. Johnson']","['appointment to another judicial position.Judge, U.S. Court of Appeals for the Fifth CircuitNominated by Lyndon B. Johnson on June 22, 1965, to a seat vacated by Joseph Chappell Hutcheson, Jr. Confirmed by the Senate on July 1, 1965, and received commission on July 1, 1965. Assumed senior status on December 21, 1978. Service terminated on December 12, 1995, due to death.Other Federal Judicial Service:Judge, Temporary Emergency Court of Appeals, 1982-199']"
